id,section,qnum,type,family,primaryMethods,sourceFile,questionStem
PT90-S1-Q23,1,23,parallel_flaw,structure_matching,formula|abstract_mapping|venn,PT90_no_answers.json,Which one of the following is most parallel in its reasoning to the flawed reasoning above?
PT90-S1-Q24,1,24,evaluate,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,"Which one of the following, if true, most strongly indicates that current enforcement of automobile- emission standards might be ineffective in controlling overall pollutant levels?"
PT90-S1-Q25,1,25,resolve,dual_structure,parallel_bridge|dispute_locate,PT90_no_answers.json,"Each of the following, if true, would contribute to an explanation of differences described above EXCEPT:"
PT90-S2-Q01,2,1,strengthen,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,"Which one of the following, if true, most supports the environmentalists’ proposal?"
PT90-S2-Q02,2,2,role,argument_structure,argument_chain,PT90_no_answers.json,"Which one of the following most accurately describes the role played in the economist’s argument by the phrase ""To the extent that homelessness arises from a lack of available housing""?"
PT90-S2-Q03,2,3,most_supported,inference,highlight|lego|venn|substitution,PT90_no_answers.json,"Which one of the following is most strongly supported by the statements above, if they are true?"
PT90-S2-Q04,2,4,assumption_necessary,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,An assumption made in the explanation offered by the author of the passage is that
PT90-S2-Q05,2,5,resolve,dual_structure,parallel_bridge|dispute_locate,PT90_no_answers.json,The explanation offered by the author of the passage makes the assumption that
PT90-S2-Q06,2,6,main_conclusion,argument_structure,argument_chain,PT90_no_answers.json,Which one of the following sentences most accurately expresses the main point of the passage?
PT90-S2-Q07,2,7,strengthen,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,"Which one of the following principles, if valid, most helps to justify the conservationist’s reasoning?"
PT90-S2-Q08,2,8,assumption_necessary,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,Which one of the following is an assumption on which the conservationist’s reasoning depends?
PT90-S2-Q09,2,9,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,The prediction that ends the passage would be most seriously called into question if it were true that in the last few years
PT90-S2-Q10,2,10,principle_apply,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,Which one of the following most closely conforms to the principle that the passage above illustrates?
PT90-S2-Q11,2,11,strengthen,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,"Which one of the following, if true, most strengthens the argument?"
PT90-S2-Q12,2,12,strengthen,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,"If the editorialist’s statements are true, they provide the most support for which one of the following?"
PT90-S2-Q13,2,13,point_at_issue,dual_structure,parallel_bridge|dispute_locate,PT90_no_answers.json,The point about which the supervisor expresses disagreement with the plant manager is
PT90-S2-Q14,2,14,weaken,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,The plant manager’s argument is most vulnerable to criticism on which one of the following grounds?
PT90-S2-Q15,2,15,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,the argument in which one of the following ways?
PT90-S2-Q16,2,16,unknown,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,which one of the following?
PT90-S2-Q17,2,17,principle_apply,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,Which one of the following is a principle underlying the advice given to police officers?
PT90-S2-Q18,2,18,flaw,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,Which one of the following most accurately describes an error in the argument’s reasoning?
PT90-S2-Q19,2,19,resolve,dual_structure,parallel_bridge|dispute_locate,PT90_no_answers.json,Each of the following contributes to an explanation of the surprising survey results described above EXCEPT:
PT90-S2-Q20,2,20,strengthen,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,"Each of the following, if true, would strengthen the argument EXCEPT:"
PT90-S2-Q21,2,21,parallel,structure_matching,formula|abstract_mapping|venn,PT90_no_answers.json,the argument above is most similar to that in which one of the following?
PT90-S2-Q22,2,22,must_be_true,inference,highlight|lego|venn|substitution,PT90_no_answers.json,on the basis of them which one of the following CANNOT be true?
PT90-S2-Q23,2,23,must_be_true,inference,highlight|lego|venn|substitution,PT90_no_answers.json,"the statements above are true, which one of the following must also be true on the basis of them?"
PT90-S2-Q24,2,24,weaken,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,"Which one of the following, if true, most weakens the medical researcher’s argument?"
PT90-S2-Q25,2,25,flaw,river_crossing,river_crossing|river_dual_bridge|river_fork,PT90_no_answers.json,The reasoning in the argument is questionable because the argument
